wmo,name,country,latitude,longitude,source,epw_url
789820,Queen Beatrix Intl AP,ABW,12.501,-70.015,TMYx,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ABW_Aruba/ABW_AA_Queen.Beatrix.Intl.AP.789820_TMYx.2007-2021.zip
697284,Bagram AP,AFG,34.944,69.259,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_PAR_Bagram.AP.697284_TMYx.2007-2021.zip
697724,Bala Murghab,AFG,35.6,63.3,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BDG_Bala.Murghab.697724_TMYx.zip
409450,Bamiyan,AFG,34.817,67.817,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BAM_Bamiyan.409450_TMYx.2007-2021.zip
409880,Bust AP,AFG,31.55,64.367,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HEL_Bust.AP.409880_TMYx.2007-2021.zip
409420,Chakhcharan AP,AFG,34.533,65.267,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_GHO_Chakhcharan.AP.409420_TMYx.2007-2021.zip
697094,FOB Bostic,AFG,35.217,71.517,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KNR_FOB.Bostic.697094_TMYx.2007-2021.zip
691784,FOB Leatherneck,AFG,31.9,64.183,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HEL_FOB.Leatherneck.691784_TMYx.zip
409389,FOB Victory Stone,AFG,34.117,62.217,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HER_FOB.Victory.Stone.409389_TMYx.2007-2021.zip
409740,Farah,AFG,32.367,62.183,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FRA_Farah.409740_TMYx.2007-2021.zip
409040,Fetzabad AP,AFG,37.117,70.517,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BDS_Fetzabad.AP.409040_TMYx.zip
409700,Gardez,AFG,33.567,69.25,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_PIA_Gardez.409700_TMYx.2007-2021.zip
409680,Ghazni AP,AFG,33.533,68.417,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_GHA_Ghazni.AP.409680_TMYx.2007-2021.zip
409380,Herat Intl AP,AFG,34.21,62.228,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HER_Herat.Intl.AP.409380_TMYx.2007-2021.zip
409540,Jalalabad AP,AFG,34.4,70.499,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_NAN_Jalalabad.AP.409540_TMYx.2007-2021.zip
697594,Kabul Soccer Field,AFG,34.53,69.19,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KAB_Kabul.Soccer.Field.697594_TMYx.2007-2021.zip
409480,Kabul-Karzai Intl AP,AFG,34.5552,69.2142,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KAB_Kabul-Karzai.Intl.AP.409480_TMYx.2007-2021.zip
409900,Kandahar Intl AP,AFG,31.5021,65.8524,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KAN_Kandahar.Intl.AP.409900_TMYx.2007-2021.zip
409710,Khost,AFG,33.35,69.95,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KHO_Khost.409710_TMYx.2007-2021.zip
409130,Kunduz AP,AFG,36.667,68.917,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KDZ_Kunduz.AP.409130_TMYx.2007-2021.zip
409220,Maymana AP,AFG,35.933,64.767,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FYB_Maymana.AP.409220_TMYx.2007-2021.zip
409110,Mazar-i-Sharif AP,AFG,36.7055,67.2185,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BAL_Mazar-i-Sharif.AP.409110_TMYx.2007-2021.zip
409300,North Salang,AFG,35.317,69.017,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BGL_North.Salang.409300_TMYx.2007-2021.zip
